Soil_Moisture(%),Nitrogen(ppm),Phosphorus(ppm),Potassium(ppm),Light_Density(Lux),Irrigation(Liters),Soil_pH,EC(dS/m),Temperature(°C),Humidity(%)
20,51,16,47,14712,10,6.91,0.82,29.9,62
46,49,28,49,9293,2,6.88,1.05,29.2,60
52,66,34,51,17451,2,6.86,1.53,34.0,53
35,58,33,40,11124,2,6.66,1.15,28.3,55
37,49,25,82,16117,3,6.3,1.62,32.6,57
40,58,21,42,11901,2,6.31,0.96,29.5,62
51,79,22,55,18312,2,6.86,1.62,35.4,38
50,55,37,48,12006,3,6.98,1.32,30.3,61
27,40,38,78,22398,3,6.78,1.62,37.8,59
50,43,38,68,14107,2,6.76,1.49,30.8,57
50,63,25,45,9363,4,6.54,1.19,28.8,53
43,68,36,87,16480,2,6.54,2.29,31.7,59
37,62,33,65,9415,1,6.6,1.7,28.1,59
32,67,35,40,11334,4,6.73,1.36,30.2,60
54,75,21,79,17645,4,6.61,1.99,32.2,49
50,48,32,70,9591,2,6.83,1.51,28.6,56
34,66,29,78,6631,4,6.93,1.95,26.5,67
22,48,21,64,14941,8,6.64,1.19,33.5,55
21,40,29,58,13469,6,7.46,1.07,29.2,57
20,61,18,84,6745,9,6.9,1.76,26.1,62
38,75,19,76,13864,1,6.55,1.89,30.7,59
20,53,34,83,5400,10,6.68,1.89,24.9,62
38,72,17,55,15008,1,6.89,1.4,29.8,59
25,50,29,60,11234,6,6.43,1.3,29.7,62
53,48,26,58,13309,3,6.75,1.17,29.2,56
46,46,30,80,14937,2,6.85,1.62,32.0,53
51,49,29,80,14445,4,6.49,1.66,33.9,54
39,70,29,82,9649,1,7.38,2.1,28.1,61
48,41,22,41,13036,1,6.45,0.63,31.0,57
45,66,33,55,16617,4,6.6,1.59,31.9,59
52,67,15,83,16342,2,6.58,1.8,33.7,58
51,78,36,77,6970,0,6.22,2.29,25.9,71
30,58,21,78,12586,6,6.41,1.64,29.9,61
21,65,38,65,11706,10,6.91,1.85,30.7,56
23,60,22,79,17187,10,6.68,1.72,32.3,48
18,66,17,88,9881,11,7.25,1.91,28.0,60
29,73,35,87,16013,3,6.08,2.37,33.8,50
52,65,27,77,13122,0,6.55,1.87,30.7,64
28,55,33,85,14138,7,6.83,1.95,31.7,51
40,67,35,51,4395,4,6.61,1.57,23.7,60
